code,nom,description,prix,tags,details
MS1,Stabilo Surligneur «BOSS® Executive»,"épaisseur de trait : 2-5 mm, pointe biseautée, rechargeable, encre spéciale à base d'eau, résistante à l'eau, invisible à la photocopie, sèche rapidement, avec grip ergonomique, forme rectangulaire empêchant le surligneur de rouler","90,00",Marqueur,"Famille : Surligneur|Marque : Stabilo|Couleur diponible : Jaune, Vert, Orange, Rose|Livraison : Immédiate"
MMI1,Edding Paquet de 10 marqueurs indélébiles « 3000 »,"Epaisseur du trait : 1,5 - 3,0 mm, modèle : pointe ogive interchangeable, encre résistante aux frottements, à la lumière, permanente et presque inodore, sans xylène, séchant rapidement, matière du corps : aluminium, couleurs : assortiment (noir, rouge, bleu, vert, jaune, orange, marron, violet, rose, bleu clair) ","150,00",Marqueur,"Famille : Marqueur indélébile|Marque : Edding|Couleur diponible : Jaune, Vert, Orange, Rose|Livraison : Immédiate"
MFF1,OTTO Office Standard Marqueur pour chevalet de conférence ,"Marqueur pour chevalet de conférence, épaisseur du trait : 1,5-3,0 mm, modèle : pointe ogive, non rechargeable, encre au coloris intense, inodore à base d'eau, résistante aux frottements, ne traverse pas les feuilles, matière du corps : plastique ","110,00",Marqueur,"Famille : Feutre flipchart|Marque : OTTO Office|Type de pointe : pointe ogive|Matériau de la tige : corps en plastique|Epaisseur de trait : 1,5 - 3,0 mm|Rechargeable : Non|Livraison : Immédiate"
CCL1,Pritt Liquide de correction,"Liquide de correction, avec pinceau, contenu : 20 ml  ","80,00",Corriger,Famille : Correcteur liquide|Marque : Pritt|Livraison : Immédiate
CG1,Staedtler Gomme « Mars Plastic »,"pour effacer la mine de plomb sur papier et feuille de dessin mate ou le feutre sur film de rétroprojection, avec étui, dimensions : 65 x 23 x 13 mm","50,00",Corriger,Famille : Gomme|Marque : Staedtler|Livraison : Immédiate
SSP1,Lamy Stylo-plume « Al-Star »,"Modèle : avec grip, clip en métal chromé, plume en acier poli et indicateur de niveau de remplissage, pour droitiers, épaisseur du trait : M, partie avant et capuchon en aluminium (anodisé), design : Wolfgang Fabian, livré avec cartouche grande capacité « T10 », couleur : bleu","135,00",Stylo,Famille : Stylo plume|Marque : Lamy|Epaisseur du trait : M|design : Wolfgang Fabian|Livraison : Immédiate
SSB1,BIC Stylo-bille « Atlantis Premium »,"Epaisseur du trait / Ø de la mine : 0,6/1,0 mm, encre ultra glissante convenant aux documents officiels, zone grip : caoutchoutée, avec mécanisme rétractable, clip en métal, matière : plastique, rechargeable","92,00",Stylo,"Famille : Stylo-bille|Marque : BiC|Epaisseur du trait / Ø de la mine : 0,6/1,0 mm|Livraison : Immédiate"
SSB2,BIC Paquet de 100 stylo-billes rétractables « M10 »,"Epaisseur du trait : 0,4 mm, avec corps transparent (pour le contrôle du niveau de l'encre) et clip de poche en plastique ","2500,00",Stylo,"Famille : Stylo-bille|Marque : BiC|Epaisseur du trait : 0,4 mm|Livraison : Immédiate"
FBPR1,Esselte Porte-revues « Vivida » ,"Pour formats: A4, Matière: carton/film PVC, Particularités: pochette transparente pour étiquette, pliant, Type d'étiquette: amovible, Avec œillet de préhension: Oui, Dimensions (L/P/H): 7,2/24,2/31,8 cm","182,00",Fournitures de bureau,"Famille : Porte-revue|Marque : Esselte|Formats : A4|Dimensions (L/P/H) : 7,2/24,2/31,8 cm|Livraison : Immédiate"
CCS1,Casio Calculatrice scientifique « FX-82SX Plus »,"Ecran LCD : 10 chiffres, 167 fonctions, 1 mémoire, alimentation : pile, poids : 104 g ","1 254,50",Calculatrices,"Famille : Calculatrices scientifiques|Marque : Casio|Modèle de l'écran : 2 lignes|Nombre de fonctions : 167|Dimensions (L/P/H) : 7,8/15,5/2,0 cm|Livraison : Immédiate"
DDDD1,HSM Destructeur « Securio B24 »,"Coupe « fibres », largeur des fibres : 3,9 mm, volume du collecteur : 34 litres, puissance du moteur : 500 W, peut détruire : papier, agrafes, trombones, cartes de crédit et CD, touche de commande multifonction et touche de marche arrière, fonction marche arrière automatique en cas de bourrage, avec gestion d'économie d'énergie (EMCS) : permet d'économiser 70 % d'énergie par rapport au mode veille standard, poids : 18 kg, garantie fabricant : 2 ans sur l'appareil, 10 ans sur les cylindres de coupe en acier massif ","39 542,00",Destructeur de documents,Famille : Destructeur de documents|Marque : HSM|Capacité du collecteur :  34  litre(s)|Type de coupe :  coupes « fibres »|Largeur de coupe :  3.9  mm|Nombre max. de feuilles (80g/m²) : 21 feuille(s)|Livraison : Immédiate
NRDNR1,Post-It Bloc de notes repositionnables « Z-Notes »,"Bloc de notes repositionnables « Z-Notes », avec pliage en Z, décollable sans laisser de traces, réutilisable, couleur : jaune, contenu par paquet : 100 feuilles, livré dans un distributeur en plastique en forme de galet ","1 024,50",Notes repositionnables,Famille : Distributeur de notes repositionnables|Marque : Post-It|Couleur : Jaune|Contenu :  1x 100 feuilles et distributeur en plastique|Qualité du papier :  70  g/m²|Autocollant :  Oui|Livraison : Immédiate
CA1,Exacompta Boîte d'archives « Cartobox »,"Boîte d'archives « Cartobox » pour format : A4, largeur du dos : 6 cm, modèle : avec 3 rabats et élastiques en caoutchouc, étiquette tranche, matériau : carton de manille (600 g/m²), livrée à plat ","220,00",Classeur,Famille : Archivage|Marque : Exacompta|Type de fermeture :  fermeture à élastiques|Format de papier : A4|Grammage : 600 g/m²|Epaisseur (matériau) :  0.7  mm|Livraison : Immédiate
CCA41,Exacompta Classeur « Forever »,"Classeur « Forever », format : A4, largeur de dos : 8 cm, modèle : avec chants métalliques, œillet renforcé, encoches de maintien et étiquette collée, carton recyclé recouvert d'une double bicolore de papier recyclé, épaisseur de la couverture : 2,7 mm, capacité : 550 feuilles (80 g/m²) ","215,00",Classeur,Famille : Classeur A4|Marque : Exacompta|Format de papier : A4|Largeur du dos :  8  cm|Pelliculage extérieur (matière) :  Papier recyclé|Finition :  Revêtement papier recyclé couleur|Livraison : Immédiate
ES1,Petite enveloppe skin 90x140 mm extra blanc,"Le papier skin, papier aux Couleurs profondes dont le touché est semblable à celui de la peauTres facile d'utilisation cette enveloppe est fabriquée avec une patte pointue gommée, elle est spécialement conçue pour l'envoi faire-part de mariage, faire-part de naissance, carte de remerciement ... haut de gamme. Cette enveloppe est compatible avec les impressions jets d'encre et laser. Nous vous recommandons cependant de commander un échantillon de cette enveloppe afin de réaliser un essai d'impression dans votre machine.","380,00",Enveloppe,Famille : Skin|Marque : Art du Papier|Produit : Petite enveloppe|Dimension : 90 x 140 mm|Type de papier : Skin|Grammage : 135 g/m²|Couleur : extra blanc|Conditionnement : 100|Livraison : Immédiate
EK1,Enveloppe rectangle C6 kraft naturel 114x162 mm,"Le papier kraft naturel est un papier Couleur avec une surface lisse lui donnant un aspect soyeuxTres facile d'utilisation cette enveloppe est fabriquée avec une patte pointue gommée, elle est spécialement conçue pour l'envoi faire-part de mariage, faire-part de naissance, carte de remerciement ... haut de gamme. Cette enveloppe est compatible avec les impressions jets d'encre et laser. Nous vous recommandons cependant de commander un échantillon de cette enveloppe afin de réaliser un essai d'impression dans votre machine.","450,00",Enveloppe,Famille : kraft|Marque : Art du Papier|Produit : Enveloppe rectangle C6|Dimension : 114 x 162 mm|Type de papier : Kraft nature|Grammage : 120 g/m²|Couleur : kraft naturel|Conditionnement : 100|Livraison : Immédiate
EM1,Enveloppe rectangle A4 métallisée 229x324 mm opale,"Le papier métallisé est un papier Couleur aux effets nacrés, métallisées et iridescents.Tres facile d'utilisation cette enveloppe est fabriquée avec une patte droite auto-adhésive, elle est spécialement conçue pour l'envoi faire-part, d'invitation et de dossier de presse haut de gamme... Cette enveloppe est compatible avec les impressions jets d'encre et laser. Nous vous recommandons cependant de commander un échantillon de cette enveloppe afin de réaliser un essai d'impression dans votre machine.","684,00",Enveloppe,Famille : Métallisée|Marque : Art du Papier|Produit : Enveloppe rectangle A4|Dimension : 229 x 324 mm|Type de papier : Metallisé|Grammage : 120 g/m²|Couleur : Opale|Conditionnement : 50|Livraison : Immédiate
PA4S1,Feuille A4 papier skin 135g extra blanc,"Le papier skin, papier aux Couleurs profondes dont le touché est semblable à celui de la peau Tres facile d'utilisation le format A4 est Idéal pour la création et l'impression de faire-part, carte de voeux, carte de visite, dossier de presse... Ce papier est compatible avec les impressions jets d'encre et laser.","285,00",Papier A4,Famille : Skin|Marque : Art du Papier|Produit : Feuille A4|Dimension : 210 x 297 mm|Type de papier : Skin|Grammage : 135 g/m²|Couleur : Extra blanc|Conditionnement : 500|Livraison : Immédiate
PA4M1,Feuille A4 papier métallisé 120g quartz,"Le papier métallisé est un papier Couleur aux effets nacrés, métallisés et iridescents. Tres facile d'utilisation le format A4 est Idéal pour la création et l'impression de faire-part, carte de voeux, carte de visite, dossier de presse... Ce papier est compatible avec les impressions jets d'encre et laser.","365,00",Papier A4,Famille : Métallisé|Marque : Art du Papier|Produit : Feuille A4|Dimension : 210 x 297 mm|Type de papier : Métallisé|Grammage : 120 g/m²|Couleur : quartz|Conditionnement : 500|Livraison : Immédiate
